mode,normalization,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src,raw_rho,ref_rho,post_rho,scale_factor
real,original_radius,20,0.6,0.6,0.1,0.0,5.750856399536133,7.009842767996268,1.9371978044509888,2.0263729095458984,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.6,0.1,0.1,5.60101318359375,8.370042869730383,2.026185989379883,2.1983962059020996,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.6,0.5,0.0,5.2506232261657715,9.47583522374987,2.434070587158203,3.47664737701416,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.6,0.5,0.1,4.6321702003479,10.605030049935152,2.76840877532959,4.218182563781738,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.6,1.0,0.0,2.948735237121582,5.795982267673704,2.9282236099243164,5.2115254402160645,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.6,1.0,0.1,3.2298662662506104,8.279984638058352,3.4073972702026367,6.43507194519043,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.6,1.5,0.0,3.1542394161224365,5.884921576644274,3.18696928024292,6.348039627075195,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.6,1.5,0.1,2.456056833267212,7.3679847474587925,3.7214064598083496,7.845580577850342,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.8,0.1,0.0,6.657565116882324,8.214552178163736,2.1522626876831055,2.2588677406311035,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.8,0.1,0.1,6.439218997955322,9.915066563311157,2.2567055225372314,2.458127498626709,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.8,0.5,0.0,4.975871562957764,8.5060284250117,2.760205030441284,4.055084705352783,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.8,0.5,0.1,4.548185348510742,12.299315895624545,3.1541595458984375,4.916942596435547,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.8,1.0,0.0,4.4300127029418945,8.524139840216108,3.3554036617279053,6.2149529457092285,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.8,1.0,0.1,3.848294258117676,7.7371538810353995,3.9155266284942627,7.634843826293945,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.8,1.5,0.0,3.292659282684326,5.917870770458805,3.657623052597046,7.614997386932373,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,0.8,1.5,0.1,2.4574031829833984,5.801474958670494,4.278736591339111,9.352972030639648,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,1.0,0.1,0.0,7.877747058868408,9.954432052533345,2.5301074981689453,2.6688313484191895,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,1.0,0.1,0.1,7.708341121673584,12.257578411591027,2.659703016281128,2.909162759780884,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,1.0,0.5,0.0,5.65078592300415,10.404372051781824,3.303725242614746,4.99525785446167,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,1.0,0.5,0.1,5.582520961761475,12.559162943477048,3.7849364280700684,6.024038791656494,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,1.0,1.0,0.0,4.125023365020752,7.800252748985638,4.038554668426514,7.76429557800293,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,1.0,1.0,0.1,4.063340187072754,10.652274449380911,4.710025310516357,9.439557075500488,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,1.0,1.5,0.0,2.8995237350463867,6.241130823807623,4.39522123336792,9.528444290161133,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.6,1.0,1.5,0.1,3.873944044113159,10.239109933949477,5.132156848907471,11.565518379211426,0.0012320067035034299,0.37181591987609863,1.1599982632990133,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.5999999642372131,0.009444992364087237
real,original_radius,20,0.8,0.6,0.1,0.0,7.135129451751709,8.648246827059438,2.42167067527771,2.547950029373169,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.6,0.1,0.1,6.824398040771484,10.218817236624002,2.5476558208465576,2.7893893718719482,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.6,0.5,0.0,5.698102951049805,10.288826244693155,3.119539976119995,4.669284820556641,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.6,0.5,0.1,5.720922946929932,13.79040360130162,3.5915658473968506,5.706822395324707,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.6,1.0,0.0,4.048031806945801,8.189922303121648,3.7893924713134766,7.222555160522461,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.6,1.0,0.1,3.073213577270508,8.734381887885213,4.442351818084717,8.877022743225098,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.6,1.5,0.0,2.9899652004241943,6.390230186393168,4.124565124511719,8.853862762451172,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.6,1.5,0.1,3.2951788902282715,9.4615310317126,4.836067199707031,10.828238487243652,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.8,0.1,0.0,8.16936206817627,10.096800841078334,2.8365328311920166,3.000903367996216,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.8,0.1,0.1,7.884114742279053,12.209947874745295,2.991971015930176,3.2960219383239746,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.8,0.5,0.0,6.30523681640625,10.93242597502073,3.7317545413970947,5.797908782958984,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.8,0.5,0.1,5.853395938873291,11.797378551507897,4.310464382171631,7.043137073516846,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.8,1.0,0.0,3.5095410346984863,6.787486417375334,4.562075138092041,9.106552124023438,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.8,1.0,0.1,3.9133315086364746,9.315381554078739,5.348333358764648,11.065017700195312,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.8,1.5,0.0,4.072962284088135,7.521080189835999,4.961779594421387,11.175682067871094,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,0.8,1.5,0.1,3.0385594367980957,9.347770097550423,5.809818744659424,13.502472877502441,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,1.0,0.1,0.0,9.579240798950195,12.110326620806632,3.6987340450286865,3.9603652954101562,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,1.0,0.1,0.1,9.223455429077148,14.606904612704284,3.9103763103485107,4.340981960296631,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,1.0,0.5,0.0,6.343816757202148,10.476454010160795,4.870299816131592,7.834277629852295,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,1.0,0.5,0.1,6.457808971405029,14.40555613816803,5.611872673034668,9.359827041625977,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,1.0,1.0,0.0,4.6464996337890625,8.605966111680459,5.88763427734375,12.194862365722656,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,1.0,1.0,0.1,3.3215668201446533,8.965337548215324,6.864824295043945,14.527911186218262,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,1.0,1.5,0.0,4.132516860961914,8.566155807139431,6.363559246063232,14.847000122070312,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.8,1.0,1.5,0.1,3.972482919692993,7.456533908614233,7.400629043579102,17.58667755126953,0.0016426756046712399,0.37181615829467773,1.1599983660831372,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.7999998927116394,0.012593323152116318
real,original_radius,20,0.95,0.6,0.1,0.0,8.162640571594238,9.887933139893105,2.9316394329071045,3.1001267433166504,0.0019506773678585887,0.37181591987609863,1.159998284798367,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.9500002861022949,0.014954571243138126
real,original_radius,20,0.95,0.6,0.1,0.1,7.701934337615967,11.479850540547254,3.1005568504333496,3.4213857650756836,0.0019506773678585887,0.37181591987609863,1.159998284798367,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.9500002861022949,0.014954571243138126
real,original_radius,20,0.95,0.6,0.5,0.0,6.711202144622803,11.498312816797224,3.828486442565918,5.93140983581543,0.0019506773678585887,0.37181591987609863,1.159998284798367,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.9500002861022949,0.014954571243138126
real,original_radius,20,0.95,0.6,0.5,0.1,6.182673931121826,14.821204771756754,4.447383403778076,7.270238399505615,0.0019506773678585887,0.37181591987609863,1.159998284798367,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.9500002861022949,0.014954571243138126
real,original_radius,20,0.95,0.6,1.0,0.0,3.6173410415649414,6.6181212143452495,4.6364521980285645,9.251825332641602,0.0019506773678585887,0.37181591987609863,1.159998284798367,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.9500002861022949,0.014954571243138126
real,original_radius,20,0.95,0.6,1.0,0.1,4.132697582244873,11.121492736885571,5.455280303955078,11.295087814331055,0.0019506773678585887,0.37181591987609863,1.159998284798367,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.9500002861022949,0.014954571243138126
real,original_radius,20,0.95,0.6,1.5,0.0,3.264395236968994,6.362328662044102,5.0224175453186035,11.306861877441406,0.0019506773678585887,0.37181591987609863,1.159998284798367,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.9500002861022949,0.014954571243138126
real,original_radius,20,0.95,0.6,1.5,0.1,3.057537794113159,7.03223949551095,5.89305305480957,13.683231353759766,0.0019506773678585887,0.37181591987609863,1.159998284798367,2012346,baseline_rho_chunk_4,63.525726318359375,63.525726318359375,0.9500002861022949,0.014954571243138126
