mode,normalization,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src,raw_rho,ref_rho,post_rho,scale_factor
real,spectral_radius,50,0.6,0.6,0.1,0.0,,,2.0840859413146973,2.0943000316619873,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.6,0.1,0.1,,,2.163609743118286,2.175264358520508,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.6,0.5,0.0,,,2.548997640609741,2.575533628463745,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.6,0.5,0.1,,,2.8435797691345215,2.8604798316955566,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.6,1.0,0.0,,,3.0649983882904053,3.11529541015625,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.6,1.0,0.1,,,3.490520715713501,3.4985203742980957,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.6,1.5,0.0,,,3.363654136657715,3.4320337772369385,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.6,1.5,0.1,,,3.843627691268921,3.8381600379943848,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.8,0.1,0.0,,,2.341041088104248,2.54071044921875,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.8,0.1,0.1,,,2.4295990467071533,2.609793186187744,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.8,0.5,0.0,,,2.901827573776245,2.995967388153076,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.8,0.5,0.1,,,3.2347002029418945,3.229973554611206,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.8,1.0,0.0,,,3.5072789192199707,3.511723041534424,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.8,1.0,0.1,,,3.983717203140259,3.7926998138427734,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.8,1.5,0.0,,,3.842046022415161,3.785276174545288,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,0.8,1.5,0.1,,,4.373526573181152,4.048863887786865,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,1.0,0.1,0.0,,,2.769706964492798,3.360823392868042,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,1.0,0.1,0.1,,,2.8758087158203125,3.4375903606414795,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,1.0,0.5,0.0,,,3.5020251274108887,4.127585411071777,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,1.0,0.5,0.1,,,3.897317886352539,4.261096477508545,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,1.0,1.0,0.0,,,4.252439975738525,5.129097938537598,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,1.0,1.0,0.1,,,4.8039631843566895,5.215142726898193,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,1.0,1.5,0.0,,,4.64123010635376,5.662633419036865,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
real,spectral_radius,50,0.6,1.0,1.5,0.1,,,5.24530553817749,5.700413227081299,0.0010561422677710652,0.312785804271698,0.6825477684899469,5012346,chunk_5,70.40695190429688,70.40695190429688,0.5999997854232788,0.008521885748094465
