mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,seed,src
real,50,0.6,0.6,0.1,4.053408145904541,4.482527792453766,1.6861903667449951,1.743788719177246,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,0.6,0.5,4.031987190246582,6.141153335571289,1.9066041707992554,2.4711287021636963,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,0.6,1.0,3.559159755706787,6.484787821769714,2.112987518310547,3.311394453048706,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,0.6,1.5,2.3272032737731934,3.767354726791382,2.2408535480499268,3.854917049407959,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,0.8,0.1,4.418056011199951,4.774748802185059,1.7686588764190674,1.8327186107635498,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,0.8,0.5,4.684234142303467,7.270423769950867,2.026033639907837,2.6663098335266113,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,0.8,1.0,3.554882049560547,6.2922691106796265,2.2615132331848145,3.618469476699829,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,0.8,1.5,2.6923232078552246,5.1764068603515625,2.4030539989471436,4.2345991134643555,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,1.0,0.1,5.077245712280273,5.501031756401062,1.8904191255569458,1.9633681774139404,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,1.0,0.5,5.262630939483643,8.424586534500122,2.1955461502075195,2.936617136001587,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,1.0,1.0,3.111778497695923,6.371092677116394,2.464776039123535,4.032468318939209,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.6,1.0,1.5,3.8486595153808594,6.933371484279633,2.620142936706543,4.741001129150391,0.0009280519443564117,0.5628097057342529,5012468,chunk_10
real,50,0.8,0.6,0.1,4.672771453857422,5.172891199588776,2.119929552078247,2.2162106037139893,0.0012374025536701083,0.5628095865249634,5012468,chunk_10
real,50,0.8,0.6,0.5,4.537120819091797,6.850997805595398,2.353693962097168,3.105330467224121,0.0012374025536701083,0.5628095865249634,5012468,chunk_10
